level,epochs,final_train_mse,final_validation_mse,best_validation_mse,best_epoch
1,2000,3.1696307514049025e-05,4.557485241621463e-05,4.472480586957949e-05,1999
2,2000,0.0008708130367143724,0.001939840710702608,0.0008364713417819744,116
3,2000,0.00011656891024270157,0.0022662275885786728,0.0018751374355377387,176
4,2000,0.013150386744204198,0.01688266687886548,0.006435387849884947,84
5,2000,0.01422817065065241,0.01581024499175771,0.015505455776933252,49
